firstname,lastname,placement
Quentin,Carlsson,2
Mats,Xantesson,5
Karl,Dahl,4
Samuel,Svensson,3
Johan,Xantesson,3
David,Quist,5
Adam,Westerberg,5
Olle,Carlsson,1
Rikard,Dahl,4
Lars,Zetterqvist,4
Lars,Holm,1
Ulf,Ulv,2
David,Svensson,3
Zackarias,Nylander,4
Zackarias,Dahl,2
David,Nylander,2
Bertil,Eklund,3
Zackarias,Thorn,3
Rikard,Pettersson,2
Rikard,Nylander,2
Xander,Thorn,2
Wilhelm,Berg,3
Zackarias,Ingmarsson,4
Bertil,Forsberg,4
Torsten,Berg,4
Erik,Karlsson,5
Olle,Vinter,3
David,Magnusson,5
Yngve,Carlsson,4
Karl,Ydren,1
Viktor,Westerberg,3
Samuel,Eklund,3
Fredrik,Olsson,3
Gunnar,Gustafsson,2
Harald,Thorn,5
Wilhelm,Svensson,5
Fredrik,Berg,1
Quentin,Jansson,4
Harald,Berg,2
Adam,Vinter,2
Samuel,Carlsson,5
Adam,Svensson,4
Rikard,Xantesson,2
Yngve,Westerberg,5
Xander,Berg,5
Harald,Jansson,3
Bertil,Pettersson,3
Harald,Lind,2
Harald,Pettersson,4
Nils,Lind,4
Adam,Pettersson,5
Cesar,Carlsson,4
Wilhelm,Thorn,1
Nils,Westerberg,2
Samuel,Karlsson,1
Olle,Magnusson,1
Patrik,Carlsson,3
Yngve,Olsson,3
Torsten,Carlsson,2
Erik,Forsberg,1
Cesar,Nylander,5
Erik,Pettersson,2
David,Ulv,3
Zackarias,Thorn,5
Torsten,Berg,3
David,Xantesson,3
Patrik,Quist,1
Erik,Magnusson,2
Yngve,Vinter,3
Yngve,Thorn,2
David,Karlsson,4
Rikard,Forsberg,2
Johan,Svensson,1
Ulf,Ingmarsson,1
Fredrik,Ulv,5
David,Xantesson,3
Rikard,Ulv,1
Karl,Dahl,3
Xander,Andersson,5
Gunnar,Gustafsson,1
Karl,Ydren,5
Xander,Eklund,4
Lars,Ulv,5
Adam,Lind,1
Samuel,Pettersson,2
Patrik,Karlsson,4
Wilhelm,Dahl,1
Patrik,Dahl,5
Johan,Karlsson,5
Samuel,Forsberg,5
Cesar,Eklund,4
Lars,Xantesson,1
Ulf,Zetterqvist,1
Xander,Quist,4
Fredrik,Svensson,2
Xander,Pettersson,1
Adam,Lind,2
Adam,Gustafsson,3
Xander,Carlsson,1
Nils,Thorn,1
Cesar,Vinter,2
Quentin,Gustafsson,5
Yngve,Berg,5
Torsten,Nylander,4
Nils,Rydberg,4
Zackarias,Olsson,5
Torsten,Gustafsson,3
Samuel,Magnusson,4
Fredrik,Holm,1
Viktor,Eklund,4
Gunnar,Karlsson,5
Adam,Lind,4
Olle,Gustafsson,3
Cesar,Westerberg,3
Karl,Magnusson,1
Samuel,Karlsson,3
Yngve,Xantesson,4
Xander,Carlsson,3
Erik,Quist,2
Zackarias,Berg,4
David,Pettersson,1
Harald,Rydberg,5
Cesar,Zetterqvist,1
Adam,Dahl,5
Olle,Jansson,3
Gunnar,Westerberg,5
Yngve,Karlsson,2
Nils,Xantesson,3
Bertil,Carlsson,4
Johan,Carlsson,3
Ivar,Karlsson,4
Lars,Olsson,5
Harald,Lind,3
Adam,Ingmarsson,2
Johan,Jansson,1
Ivar,Berg,4
Bertil,Dahl,1
Mats,Ingmarsson,2
Samuel,Lind,1
Torsten,Forsberg,5
Olle,Andersson,4
Ulf,Eklund,2
Harald,Rydberg,5
Fredrik,Quist,4
Harald,Ulv,5
Mats,Pettersson,5
